"SNP","PMID","Title","Date","Pvalue","ORvalue","Ethnicity","Patient group Size","Control group Size","Frequency","Text Evidence"
"rs10490924"," 18301036  ","HTRA1 polymorphism in dry and wet age-related macular degeneration.",""," 9.2e-06"," "," Chinese"," 43"," "," 55","+"
"rs11200638"," 18301036  ","HTRA1 polymorphism in dry and wet age-related macular degeneration.",""," 0.011"," "," Chinese"," 43"," "," 42","+"
"rs11200638"," 18301036  ","HTRA1 polymorphism in dry and wet age-related macular degeneration.",""," 0.035"," "," Chinese"," 43"," "," 42","+"
"rs1061170"," 18067970  ","Peripheral reticular pigmentary change is associated with complement factor H polymorphism (Y402H) in age-related macular degeneration.","2007-12-11"," 0.0006"," "," "," 956"," "," 38","+"
"rs10272438"," 18048322  ","A forest-based approach to identifying gene and gene gene interactions.","2007-11-28"," 2e-06"," "," "," "," "," 2","+"
"rs10272438"," 18048322  ","A forest-based approach to identifying gene and gene gene interactions.","2007-11-28"," 0.0024"," "," "," "," "," 2","+"
"rs2274700"," 18043728  ","Haplotypes in the complement factor H (CFH) gene: associations with drusen and advanced age-related macular degeneration.","2007-11-28"," 1e-09"," "," Western"," "," "," 8","+"
"rs1061147"," 18043728  ","Haplotypes in the complement factor H (CFH) gene: associations with drusen and advanced age-related macular degeneration.","2007-11-28"," 1e-09"," "," Western"," "," "," 1","+"
"rs1410996"," 17962488  ","Coding and noncoding variants in the CFH gene and cigarette smoking influence the risk of age-related macular degeneration in a Japanese population.",""," 2.37e-05"," "," Japanese Caucasian"," 188"," 139"," 15","+"
"rs2274700"," 17962488  ","Coding and noncoding variants in the CFH gene and cigarette smoking influence the risk of age-related macular degeneration in a Japanese population.",""," 2.37e-05"," "," Japanese Caucasian"," 188"," 139"," 8","+"
"rs800292"," 17962488  ","Coding and noncoding variants in the CFH gene and cigarette smoking influence the risk of age-related macular degeneration in a Japanese population.",""," 8.63e-06"," "," Japanese Caucasian"," 188"," 139"," 16","+"
"rs1410996"," 17962488  ","Coding and noncoding variants in the CFH gene and cigarette smoking influence the risk of age-related macular degeneration in a Japanese population.",""," 0.000117"," "," Japanese Caucasian"," 188"," 139"," 15","+"
"rs11200638"," 17904186  ","HTRA1 variant increases risk to neovascular age-related macular degeneration in Chinese population.","2007-09-27"," 5e-12"," "," Caucasian Chinese"," 164"," 106"," 42","+"
"rs10490924"," 17884985  ","A variant of mitochondrial protein LOC387715/ARMS2, not HTRA1, is strongly associated with age-related macular degeneration.","2007-09-20"," 5.3e-30"," "," "," "," "," 55","+"
"rs10490924"," 17692272  ","LOC387715/HTRA1 variants in polypoidal choroidal vasculopathy and age-related macular degeneration in a Japanese population.","2007-08-09"," 5.7e-06"," "," Japanese"," 73"," 94"," 55","+"
"rs11200638"," 17692272  ","LOC387715/HTRA1 variants in polypoidal choroidal vasculopathy and age-related macular degeneration in a Japanese population.","2007-08-09"," 5.2e-06"," "," Japanese"," 73"," 94"," 42","+"
"rs10490924"," 17692272  ","LOC387715/HTRA1 variants in polypoidal choroidal vasculopathy and age-related macular degeneration in a Japanese population.","2007-08-09"," 1.4e-06"," "," Japanese"," 73"," 94"," 55","+"
"rs11200638"," 17692272  ","LOC387715/HTRA1 variants in polypoidal choroidal vasculopathy and age-related macular degeneration in a Japanese population.","2007-08-09"," 3.4e-07"," "," Japanese"," 73"," 94"," 42","+"
"rs2230199"," 17634448  ","Complement C3 variant and the risk of age-related macular degeneration.","2007-07-18"," 5.9e-05"," "," Western Scottish"," 244"," 351"," 18","+"
"rs2230199"," 17634448  ","Complement C3 variant and the risk of age-related macular degeneration.","2007-07-18"," 5e-05"," "," Western Scottish"," 244"," 351"," 18","+"
"rs547154"," 17576744  ","Protective effect of complement factor B and complement component 2 variants in age-related macular degeneration.","2007-06-18"," 0.02"," "," Americans Caucasian"," "," "," 12","+"
"rs547154"," 17576744  ","Protective effect of complement factor B and complement component 2 variants in age-related macular degeneration.","2007-06-18"," 9e-06"," "," Americans Caucasian"," "," "," 12","+"
"rs547154"," 17576744  ","Protective effect of complement factor B and complement component 2 variants in age-related macular degeneration.","2007-06-18"," 2e-05"," "," Americans Caucasian"," "," "," 12","+"
"rs11200638"," 17438519  ","HTRA1 promoter polymorphism predisposes Japanese to age-related macular degeneration.","2007-04-04"," 1e-11"," "," Chinese Caucasian Japanese"," "," "," 42","+"
"rs10490924"," 17325155  ","The LOC387715 polymorphism and age-related macular degeneration: replication in three case-control samples.",""," 1.42e-09"," "," Australian"," "," "," 55","+"
"rs10490924"," 17325155  ","The LOC387715 polymorphism and age-related macular degeneration: replication in three case-control samples.",""," 3.56e-13"," "," Australian"," "," "," 55","+"
"rs3753394"," 17167412  ","Association of complement factor H polymorphisms with exudative age-related macular degeneration.","2006-12-05"," 0.003"," "," Chinese Caucasians Japanese"," 163"," 244"," 6","+"
"rs800292"," 17167412  ","Association of complement factor H polymorphisms with exudative age-related macular degeneration.","2006-12-05"," 0.00053"," "," Chinese Caucasians Japanese"," 163"," 244"," 16","+"
"rs1329428"," 17167412  ","Association of complement factor H polymorphisms with exudative age-related macular degeneration.","2006-12-05"," 0.00092"," "," Chinese Caucasians Japanese"," 163"," 244"," 3","+"
